purchase_date,ticker,name,buy_price,status,yield,group,days_held
20251226,298830,슈어소프트테크,7250.0,BOUGHT,16.97,MANAGED,1
20251226,89530,에스피시스템스,10500.0,BOUGHT,0.0,MANAGED,1
20251226,293250,한라캐스트,2450.0,BOUGHT,0.0,MANAGED,1
20251229,49630,재영솔루텍,4160.0,PENDING,0.0,MANAGED,1
20251229,8350,남선알미늄,1310.0,CLOSED,-0.0143939393939394,MANAGED,7
20251229,18470,조일알미늄,1389.0,PENDING,0.0,MANAGED,1
20251229,452260,한화갤러리아,1366.0,PENDING,0.0,WATCH,1
20251229,5930,삼성전자,117000.0,PENDING,0.0,WATCH,1
20251229,10580,에스엠벡셀,2610.0,PENDING,0.0,WATCH,1
20251229,319400,현대무벡스,19260.0,PENDING,0.0,WATCH,1
20251229,67290,JW신약,2315.0,PENDING,0.0,WATCH,1
20251229,49180,셀루메드,1896.0,PENDING,0.0,WATCH,1
20251229,4310,현대약품,8690.0,PENDING,0.0,WATCH,1
20251230,94940,푸른기술,8900.0,CLOSED,-0.05,WATCH,0
20251230,137080,나래나노텍,4320.0,CLOSED,-0.05,WATCH,0
20251230,143540,영우디에스피,907.0,CLOSED,0.1190738699007718,WATCH,3
20251230,286750,나노실리칸첨단소재,1857.0,CLOSED,-0.0499999999999999,WATCH,3
20251230,18470,조일알미늄,1369.0,CLOSED,-0.05,WATCH,0
20251226,90710,휴림로봇,6650.0,CLOSED,-0.0526315789473684,WATCH,3
20251229,4440,삼일씨엔에스,5710.0,CLOSED,-0.003415061295972,WATCH,7
20251229,8355,남선알미우,21100.0,PENDING,0.0,WATCH,0
20251229,317120,라닉스,2490.0,PENDING,0.0,WATCH,0
20251229,79950,인베니아,1387.0,PENDING,0.0,WATCH,0
20260102,42940,,11800.0,CLOSED,-0.0186440677966102,WATCH,3
20260102,4440,,5990.0,PENDING,0.0,WATCH,0
20260102,13360,,2220.0,CLOSED,-0.0225225225225225,WATCH,3
20260102,67290,,2135.0,CLOSED,-0.05,WATCH,3
20260102,8350,,1309.0,CLOSED,-0.0061115355233002,WATCH,3
20260102,28300,,51600.0,CLOSED,0.0445736434108527,WATCH,3
20260102,486990,,46800.0,CLOSED,0.1495726495726494,WATCH,3
20260113,272290,,26450.0,PENDING,0.0,WATCH,0
20260113,10100,,5500.0,PENDING,0.0,WATCH,0
20260113,101490,,64200.0,PENDING,0.0,WATCH,0
20260113,11780,,135500.0,PENDING,0.0,WATCH,0
20260113,484810,,17690.0,PENDING,0.0,WATCH,0
20260113,267250,,227000.0,PENDING,0.0,WATCH,0
20260113,42660,,144500.0,PENDING,0.0,WATCH,0
20260113,42370,,10940.0,PENDING,0.0,WATCH,0
20260115,489790,,51700.0,PENDING,0.0,WATCH,0
20260120,11500,,17530.0,PENDING,0.0,WATCH,0
20260120,90360,,95000.0,PENDING,0.0,WATCH,0
20260120,66590,,4000.0,PENDING,0.0,WATCH,0
20260122,332570,,8350.0,PENDING,0.0,WATCH,0
20260122,211270,,17930.0,PENDING,0.0,WATCH,0
20260122,5389,,308500.0,PENDING,0.0,WATCH,0
20260122,307180,,4620.0,PENDING,0.0,WATCH,0
20260122,381620,,16970.0,PENDING,0.0,WATCH,0
20260122,357780,,336500.0,PENDING,0.0,WATCH,0
20260122,204320,,74000.0,PENDING,0.0,WATCH,0
20260122,474170,,13970.0,PENDING,0.0,WATCH,0
20260203,58610,,154000.0,PENDING,0.0,WATCH,0
20260204,67310,,36000.0,PENDING,0.0,WATCH,0
20260205,6730,,18250.0,PENDING,0.0,WATCH,0
20260213,48410,,11200.0,PENDING,0.0,WATCH,0
20260213,397030,,66200.0,PENDING,0.0,WATCH,0
20260213,89970,,34050.0,PENDING,0.0,WATCH,0
20260220,317770,,4200.0,PENDING,0.0,WATCH,0
20260223,32820,,15540.0,PENDING,0.0,WATCH,0
20260223,4560,,19520.0,PENDING,0.0,WATCH,0
20260304,10820,,8500.0,PENDING,0.0,WATCH,0
20260304,28670,,6050.0,PENDING,0.0,WATCH,0
20260304,10950,,168000.0,PENDING,0.0,WATCH,0
20260304,128820,,10890.0,PENDING,0.0,WATCH,0
20260304,218410,,68300.0,PENDING,0.0,WATCH,0
20260304,11200,,23100.0,PENDING,0.0,WATCH,0
20260304,96770,,136700.0,PENDING,0.0,WATCH,0
20260306,9150,,405000.0,PENDING,0.0,WATCH,0
20260306,234340,,32200.0,PENDING,0.0,WATCH,0
20260306,31980,,110000.0,PENDING,0.0,WATCH,0
20260306,44450,,11020.0,PENDING,0.0,WATCH,0
20260306,127120,,36350.0,PENDING,0.0,WATCH,0
